"","site","sampling_zone","disturbance","chamber_no","co2_mg_c_m2_h","ch4_mg_c_m2_h","n2o_mg_m2_h","tsurf_water_degc","cond_uscm.1","ph","do_mgl.1","area_km2","depth_m"
"54","BBL","3_undisturbed","undisturbed",2,4.43921130028863,0.184155271034397,-0.00332845398790247,NA,50,NA,NA,0.0661,0.32
"55","BBL","3_undisturbed","undisturbed",3,5.12480652113558,0.215469483581253,-0.00331208269219843,NA,50,NA,NA,0.0661,0.32
"56","BBL","3_undisturbed","undisturbed",4,6.231812279906,0.167416258058047,-3.15343972926613e-05,NA,50,NA,NA,0.0661,0.32
"57","BBL","3_undisturbed","undisturbed",1,10.4261647174509,0.388922354875995,0.0106839106335125,4,70,6.9,NA,0.0661,0.32
"58","BBL","3_undisturbed","undisturbed",2,9.4255556902146,0.400174442615957,-0.00951538272810665,4,70,6.9,NA,0.0661,0.32
"59","BBL","3_undisturbed","undisturbed",3,11.2467551553527,0.806044723922757,-0.00273282117513715,4,70,6.9,NA,0.0661,0.32
"60","BBL","3_undisturbed","undisturbed",4,6.1988121349834,0.223456718418432,0.000951898752311791,4,70,6.9,NA,0.0661,0.32
"61","BBL","3_undisturbed","undisturbed",1,26.7677512977897,0.27141854789715,0.000367992121844903,7,90,7.3,NA,0.0661,0.32
"62","BBL","3_undisturbed","undisturbed",2,26.5214704070228,-0.616146815252037,0.0142640704571839,7,90,7.3,NA,0.0661,0.32
"63","BBL","3_undisturbed","undisturbed",3,34.5751194922097,NA,-0.135139492829325,7,90,7.3,NA,0.0661,0.32
"64","BBL","3_undisturbed","undisturbed",4,8.79851292771323,-0.526683233733644,0.000266738292819395,7,90,7.3,NA,0.0661,0.32
"65","BBL","3_undisturbed","undisturbed",1,-0.39631264392857,0.0117147870879852,-0.0091604834008235,19.5,100,8.8,5,0.0661,0.32
"66","BBL","3_undisturbed","undisturbed",2,0.602707484216535,0.052907505512639,0.00030612525969899,19.5,100,8.8,5,0.0661,0.32
"67","BBL","3_undisturbed","undisturbed",3,0.89436021301065,0.0452005783235856,-0.0131129795093817,19.5,100,8.8,5,0.0661,0.32
"68","BBL","3_undisturbed","undisturbed",4,-5.20784142727099,0.132270186455319,-0.116543869013048,19.5,100,8.8,5,0.0661,0.32
"69","BBL","3_undisturbed","undisturbed",1,2.58471445837833,0.0460281247215961,0.00515591212851223,16.5,110,8.8,6.6,0.0661,0.32
"70","BBL","3_undisturbed","undisturbed",2,3.6912062248124,0.0763247625741307,0.00519696075237253,16.5,110,8.8,6.6,0.0661,0.32
"71","BBL","3_undisturbed","undisturbed",3,-0.653839182873705,0.092959375288862,0.00789226292568025,16.5,110,8.8,6.6,0.0661,0.32
"72","BBL","3_undisturbed","undisturbed",4,7.39954020072551,0.0344918829241493,0.00779507395030975,16.5,110,8.8,6.6,0.0661,0.32
"73","BBL","3_undisturbed","undisturbed",1,2.38697980712263,0.0788283076527748,-0.00637275194224139,10.6,160,NA,3.5,0.0661,0.32
"74","BBL","3_undisturbed","undisturbed",2,3.31549320466431,0.0848000319884521,-0.00488438714960488,10.6,160,NA,3.5,0.0661,0.32
"75","BBL","3_undisturbed","undisturbed",3,2.1987657100495,0.00898555554488642,-0.00920314672379202,10.6,160,NA,3.5,0.0661,0.32
"76","BBL","3_undisturbed","undisturbed",4,4.70638792353082,-0.0186249932688723,0.00896876770346353,10.6,160,NA,3.5,0.0661,0.32
"77","BBL","3_undisturbed","undisturbed",1,5.97660359771708,0.0941266029323137,0.0021284312994612,19.1,120,7,3.9,0.0661,0.32
"78","BBL","3_undisturbed","undisturbed",2,3.45754906346454,0.0508215526079757,-0.00120532686144526,19.1,120,7,3.9,0.0661,0.32
"79","BBL","3_undisturbed","undisturbed",3,7.52346632379651,0.114792274793834,-0.00173439363297202,19.1,120,7,3.9,0.0661,0.32
"80","BBL","3_undisturbed","undisturbed",4,7.67472400984203,0.0841533023374404,0.00285280866784555,19.1,120,7,3.9,0.0661,0.32
"81","BBL","3_undisturbed","undisturbed",1,6.40463754607424,0.349761536849535,0.000906241033345932,22.2,120,7.7,4.9,0.0661,0.32
