"","collar_id","site","sampling_zone","vegetated","nee_mg_c_m2_h","er_mg_c_m2_h","ch4_mg_c_m2_h","vwc_perc_mean","frost_cm_mean","soil_temp_surface_degc","average_t_out","average_par_out","green_perc"
"40","LBS2","LBL","disturbed","n",-1.223110062,131.1809047,-0.008853252,45.7666666666667,27,11.88127164,31.2736112956811,1072.50398671096,1.3
"41","LBS4","LBL","disturbed","y",-75.40879561,153.4810127,-0.006519976,54.7450400071111,41.3333333333333,NA,28.8881495016611,1120.2780730897,14
"42","BBI1","BBL","undisturbed","y",20.96740826,58.27466218,-0.0313995,33.2,41.3333333333333,NA,33.2341262458472,1007.35448504983,2.4
"43","BBI2","BBL","undisturbed","y",-9.664079883,82.88199715,-0.003277392,22.1333333333333,28.6666666666667,20.28114563,33.2115894039735,835.471523178808,5.7
"44","BBI3","BBL","undisturbed","y",-42.86849479,122.0663026,-0.012387473,14,17.3333333333333,NA,32.2353666666667,1075.93333333333,10.3
"45","BBI4","BBL","undisturbed","y",NA,99.84911331,-0.002140005,24.8,29.6666666666667,19.948,33.5508870431894,1074.43920265781,2.7
"46","BBS1","BBL","disturbed","n",-0.298932841,39.58081146,-0.000607188,46.8333333333333,48.6666666666667,17.74623166,33.4876466666667,1060.68333333333,0.2
"47","BBS2","BBL","disturbed","y",5.453802719,150.0658062,-0.002134103,34.5333333333333,51.3333333333333,20.28096651,31.7324717607973,1069.84617940199,4.5
"48","BBS3","BBL","disturbed","n",-8.849104022,22.82716501,-0.003109873,47,44.6666666666667,NA,33.6713633333333,1076.94166666667,0
"49","BBS4","BBL","disturbed","y",0.689645846,203.8418953,-0.007457515,31.4333333333333,39,NA,32.1646644518272,1099.59700996678,17.1
"50","LBI1","LBL","undisturbed","y",96.53876831,NA,-0.019159036,32.131156784,17.6666666666667,23.78123387,37.3515662251656,769.552649006622,NA
"51","LBI2","LBL","undisturbed","y",129.6326844,NA,-0.016150807,35.3,34,26.62571729,35.3362823920266,275.560465116279,NA
"52","LBI3","LBL","undisturbed","y",-90.2792443,128.970007,-0.015351299,36.901816804,37.3333333333333,NA,34.5910733333333,679.75,NA
"53","LBI4","LBL","undisturbed","y",116.483664,110.8777824,-0.010674479,20.2666666666667,30.6666666666667,NA,35.282803986711,793.899335548173,NA
"54","LBS4","LBL","disturbed","y",0.054410259,NA,-0.006501602,30.5898979484444,43.6666666666667,NA,33.7918366666667,597.925,NA
"55","LBS2","LBL","disturbed","n",NA,NA,-0.013250859,45.1333333333333,29.3333333333333,13.2151211,30.36294,274.425,NA
"56","LBS1","LBL","disturbed","y",0.277525551,NA,-0.006530167,33.636966976,21.3333333333333,21.19268127,30.1832218543046,268.211589403974,NA
"57","BBI4","BBL","undisturbed","y",83.36165786,77.37905351,-0.044596181,26.0333333333333,35,15.14723052,29.0882266666667,881.108333333333,3.8
"58","BBI3","BBL","undisturbed","y",-19.67819433,104.7805348,-0.002022692,15.9,33.6666666666667,NA,29.1755960264901,940.256291390728,11.4
"59","BBI2","BBL","undisturbed","y",-82.2982271,53.73591704,-0.07876794,25.9666666666667,34.6666666666667,17.64066923,29.1073046357616,876.630463576159,6.9
"60","BBI1","BBL","undisturbed","y",0.176131561,65.74153234,-0.034385445,33.3,54,NA,27.5395761589404,963.186754966887,3.2
"61","BBS1","BBL","disturbed","n",2.169415527,NA,-0.014571573,46.3,56.3333333333333,15.72128758,27.2442425249169,884.01561461794,0.4
"62","BBS2","BBL","disturbed","y",-73.82826967,113.472544,-0.008382717,36.7333333333333,61,17.6733298,27.1060465116279,885.925913621262,9.6
"63","BBS3","BBL","disturbed","n",-10.20192044,21.57972838,-0.00157121,45.7333333333333,49.6666666666667,NA,27.2373621262459,870.975747508306,0.1
"64","BBS4","BBL","disturbed","y",-85.95968436,127.0213671,0.022413249,34.6,51.6666666666667,NA,27.1117508305648,864.422591362126,23.1
"65","LBI1","LBL","undisturbed","y",NA,106.5151298,-0.021971856,31.1364543271111,27.6666666666667,11.985302,21.9631721854305,808.070860927152,12.8
"66","LBI2","LBL","undisturbed","y",38.3580915,97.09929253,-0.030581952,30.0666666666667,30,12.47647327,20.5757966666667,873.908333333333,16.9
"67","LBI3","LBL","undisturbed","y",NA,89.58926296,-0.020447714,26.4489199004444,57,NA,22.0207682119205,791.555960264901,27.7
"68","LBI4","LBL","undisturbed","y",32.42580561,95.11839031,-0.024364208,22.4,49,NA,21.3535049833887,466.690033222591,8.1
"69","LBS4","LBL","disturbed","y",-200.3703428,131.0808307,-0.003821346,43.401007684,59,NA,19.8772724252492,774.16511627907,25.8
"70","LBS2","LBL","disturbed","n",-11.04581293,62.84544108,-0.008088615,42.4333333333333,38,8.655217139,21.5131162790698,675.402657807309,8.1
"71","LBS1","LBL","disturbed","y",NA,239.9814023,0.000820934,32.4073025,24,12.76728172,22.1010695364238,634.552649006622,45.6
"72","BBI4","BBL","undisturbed","y",-5.459985532,NA,-0.003280908,25.3666666666667,47.3333333333333,8.382,9.35903986710963,697.387707641196,NA
"73","BBI4","BBL","undisturbed","y",-5.459985532,NA,-0.003280908,25.3666666666667,47.3333333333333,8.382,9.35903986710963,697.387707641196,NA
"74","BBI3","BBL","undisturbed","y",-63.06178938,24.09128152,-0.033319608,17.4,53.6666666666667,NA,8.90581,329.6,NA
"75","BBI3","BBL","undisturbed","y",-63.06178938,24.09128152,-0.033319608,17.4,53.6666666666667,NA,8.90581,329.6,NA
"76","BBI2","BBL","undisturbed","y",4.812395266,71.19426425,-0.097711834,18.1333333333333,57.6666666666667,5.830143744,7.3046059602649,197.68178807947,NA
"77","BBI2","BBL","undisturbed","y",4.812395266,71.19426425,-0.097711834,18.1333333333333,57.6666666666667,5.830143744,7.3046059602649,197.68178807947,NA
"78","BBI1","BBL","undisturbed","y",-10.90550195,20.35213623,-0.056439129,26.7333333333333,72.3333333333333,NA,7.51433666666667,240.433333333333,NA
"79","BBI1","BBL","undisturbed","y",-10.90550195,20.35213623,-0.056439129,26.7333333333333,72.3333333333333,NA,7.51433666666667,240.433333333333,NA
"80","BBS1","BBL","disturbed","n",-8.524043087,9.603480029,-0.001171013,44.8666666666667,65.3333333333333,7.446026287,7.00481,205.141666666667,NA
"81","BBS1","BBL","disturbed","n",-8.524043087,9.603480029,-0.001171013,44.8666666666667,65.3333333333333,7.446026287,7.00481,205.141666666667,NA
"82","BBS2","BBL","disturbed","y",-59.16461693,32.29968613,-0.001200849,31.2666666666667,67.6666666666667,7.332701452,7.07116556291391,229.105629139073,NA
"83","BBS2","BBL","disturbed","y",-59.16461693,32.29968613,-0.001200849,31.2666666666667,67.6666666666667,7.332701452,7.07116556291391,229.105629139073,NA
"84","BBS3","BBL","disturbed","n",-4.562157284,8.55449568,-0.001172686,44.7333333333333,60.3333333333333,NA,7.25160333333333,348.883333333333,NA
"85","BBS3","BBL","disturbed","n",-4.562157284,8.55449568,-0.001172686,44.7333333333333,60.3333333333333,NA,7.25160333333333,348.883333333333,NA
"86","BBS4","BBL","disturbed","y",-110.3115856,22.11309962,-0.00827058,26.4333333333333,65,NA,7.12233887043189,268.558803986711,NA
"87","BBS4","BBL","disturbed","y",-110.3115856,22.11309962,-0.00827058,26.4333333333333,65,NA,7.12233887043189,268.558803986711,NA
"88","LBI1","LBL","undisturbed","y",57.93785878,135.0682176,-0.047974238,32.249436356,34.6666666666667,12.787,19.77587,292.225,NA
"89","LBI2","LBL","undisturbed","y",33.34321424,66.96649346,-0.024708788,25.6666666666667,52,15.7231955,18.5641627906977,223.135215946844,NA
"90","LBI3","LBL","undisturbed","y",-51.17711556,65.28995423,-0.025242011,35.683867684,52.3333333333333,NA,18.4181627906977,183.658471760797,NA
"91","LBI4","LBL","undisturbed","y",50.130816,60.61051078,-0.024824827,18.7666666666667,49.6666666666667,NA,18.0435315614618,159.239867109635,NA
"92","LBS4","LBL","disturbed","y",-47.19615664,89.00809387,-0.00403504,32.3941400017778,63,NA,18.0465298013245,262.623841059603,NA
"93","LBS2","LBL","disturbed","n",16.78947212,75.97160232,-0.010034685,42.6666666666667,42,8.807171639,17.1849235880399,171.548837209302,NA
"94","LBS1","LBL","disturbed","y",-69.78567336,165.2933374,-0.007930007,30.408210416,36,13.06155893,15.9505049833887,165.444186046512,NA
"95","LBI1","LBL","undisturbed","y",39.35791672,NA,-0.017677977,42.383023876,53.3333333333333,12.34131764,17.4564238410596,230.579139072848,NA
"96","LBI2","LBL","undisturbed","y",NA,NA,-0.038941024,36.2666666666667,65.3333333333333,12.207,16.4896212624585,252.877740863787,NA
"97","LBI3","LBL","undisturbed","y",-139.3311725,126.8748091,-0.02065281,38.2534444,64.6666666666667,NA,17.7359235880399,444.082059800664,NA
"98","LBI4","LBL","undisturbed","y",NA,150.8301043,-0.018674021,30.3,67,NA,19.5619033333333,807.808333333333,NA
"99","LBS4","LBL","disturbed","y",-183.5574383,120.2126994,-0.001791671,40.9381893617778,74,NA,20.2583255813954,986.000664451827,NA
"100","LBS2","LBL","disturbed","n",-17.20582618,74.27513656,-0.006623698,47.5333333333333,64.3333333333333,9.571,18.8329003322259,518.07707641196,NA
"101","LBS1","LBL","disturbed","y",NA,151.32797,-0.006223652,41.0080157551111,48.6666666666667,11.431,20.909169435216,923.616943521595,NA
"102","BBI4","BBL","undisturbed","y",81.60132671,NA,-0.095620483,25.2666666666667,NA,9.256164946,17.2310860927152,565.827483443709,NA
"103","BBI3","BBL","undisturbed","y",-41.88185891,67.37819706,-0.027485213,22.9,NA,NA,17.2846766666667,650.266666666667,NA
"104","BBI2","BBL","undisturbed","y",-50.86750585,84.46710891,-0.050175938,21.9666666666667,NA,10.54528019,16.4953455149502,579.306312292359,NA
"105","BBI1","BBL","undisturbed","y",-2.817056279,86.0068835,-0.079159751,28.3,NA,NA,15.0872159468439,550.751495016611,NA
"106","BBS1","BBL","disturbed","n",-15.15632523,26.85552022,-0.004615884,45.2333333333333,NA,13.846,15.3566390728477,748.327483443709,NA
"107","BBS2","BBL","disturbed","y",-108.9053193,87.76735803,-0.014700378,21.8666666666667,NA,12.207,15.1878571428571,462.113621262458,NA
"108","BBS4","BBL","disturbed","y",-114.9948081,183.6388272,-0.017422322,33.0333333333333,NA,NA,17.071780730897,890.992358803987,NA
"109","LBI1","LBL","undisturbed","y",NA,NA,NA,35.0653336111111,47.3333333333333,14.996,26.6834950166113,1065.37774086379,NA
"110","LBI2","LBL","undisturbed","y",NA,183.6536164,-0.049390597,37,66,13.942,26.5132325581395,1176.19169435216,NA
"111","LBI3","LBL","undisturbed","y",-162.708974,135.7877911,-0.05465848,30.8498834417778,72.3333333333333,NA,26.1760165562914,821.870529801324,NA
"112","LBI4","LBL","undisturbed","y",43.83645329,137.3375839,-0.019804061,26.0333333333333,65.6666666666667,NA,27.0321727574751,1072.50398671096,NA
"113","LBS4","LBL","disturbed","y",-111.647118,101.0205738,2.16e-06,38.6379813671111,73.3333333333333,NA,24.15494,969.075,NA
"114","LBS2","LBL","disturbed","n",-8.887106721,62.37683622,-0.011883166,43.6333333333333,54.6666666666667,10.9374956,26.6926312292359,929.95415282392,NA
"115","LBS1","LBL","disturbed","y",NA,NA,-0.005861872,38.748031984,60,17.18717411,26.852142384106,734.527814569536,NA
"116","BBI4","BBL","undisturbed","y",-0.200864387,86.97245073,-0.007609983,29.1666666666667,NA,6.064,14.99757,669.925,3.2
"117","BBI3","BBL","undisturbed","y",-138.7383287,61.79659491,-0.02811793,23.1666666666667,NA,NA,15.9843233333333,625.85,9.3
"118","BBI2","BBL","undisturbed","y",-58.32883069,74.2394003,-0.026887104,22.4,NA,9.996780727,16.66264,540.875,6
"119","BBI1","BBL","undisturbed","y",-27.17226129,38.35310899,-0.027086632,25.8333333333333,NA,NA,15.3572466666667,442.441666666667,3.3
"120","BBS1","BBL","disturbed","n",-26.31371332,16.7840712,-0.001437025,45.1666666666667,NA,9.373,15.7695333333333,437.241666666667,0.6
"121","BBS2","BBL","disturbed","y",-83.17690193,61.71326529,-0.001272643,37.7666666666667,NA,8.182,17.26569,610.375,10.7
"122","BBS3","BBL","disturbed","n",-13.17185625,8.553765626,-0.002212231,44.7,55,NA,18.7048666666667,644.075,0
"123","BBS4","BBL","disturbed","y",-106.5621398,97.04540886,-0.008563329,30.9333333333333,NA,NA,16.5742033333333,552.45,17.4
"124","LBI1","LBL","undisturbed","y",2.915230982,82.07408032,-0.03039876,42.3971174471111,51.6666666666667,12.26936848,15.6877966666667,312.8,6
"125","LBI2","LBL","undisturbed","y",68.47521134,77.1551299,-0.015803865,34.7333333333333,NA,12.81217646,15.3974533333333,315.066666666667,10
"126","LBI3","LBL","undisturbed","y",-137.9389893,80.15118993,-0.019997224,40.784683076,NA,NA,15.8916566666667,299.55,27.8
"127","LBI4","LBL","undisturbed","y",45.61636666,93.43297437,-0.0224826,30.9333333333333,NA,NA,15.4571733333333,249.941666666667,7.5
"128","LBS4","LBL","disturbed","y",-78.81696468,60.25372233,-0.015553029,45.9603634471111,NA,NA,14.96473,173.391666666667,12.4
"129","LBS2","LBL","disturbed","n",-3.108391894,53.16266099,-0.001007204,46.7,NA,8.183716865,14.6985,173.508333333333,4.3
"130","LBS1","LBL","disturbed","y",NA,93.64596086,-0.005958779,32.5521738151111,NA,8.879,15.0073766666667,156.383333333333,70.4
"131","ELI1","EL","undisturbed","y",-24.77552008,53.20617664,-0.00390728,49.824080996,56.6666666666667,12.21419989,22.7958405315615,843.691694352159,2.2
"132","ELI2","EL","undisturbed","y",-87.23875075,67.1305865,0.007627952,49.5333333333333,43,NA,21.9315866666667,732.633333333333,3.9
"133","ELI3","EL","undisturbed","y",-26.28395358,63.09561898,-0.009961939,40.3,61.3333333333333,10.70915494,22.1329166666667,95.1416666666667,4.1
